source_id,kind,url,revision_or_path,accessed_utc,bytes,sha256,git_blob,license_status
PAPER_DOI,publisher_record,https://doi.org/10.1145/3564755,TELO 2(4) article 13,2026-08-09,,,,bibliographic record
PAPER_AUTHOR_PDF,legal_author_full_text,https://mhevia.com/assets/pdf/journal_oplclga.pdf,author manuscript,2026-08-09,4891151,4ba0a96795ab7fe1c8d775489a41631ecca9f3b42e0ffbe5a0dc982ad1fa2221,,author-hosted
UPSTREAM_REPO,author_code_and_results,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm,49949a55208359ac93b7110afb23ed276bda158d,2026-08-09,,,,GPL-3.0
UPSTREAM_TREE,git_tree,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/tree/49949a55208359ac93b7110afb23ed276bda158d,a9d1a04fbbafbb114585ff7caf10bddc6381755a,2026-08-09,,,,GPL-3.0
LICENSE,license_member,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/LICENSE,LICENSE,2026-08-09,35149,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,f288702d2fa16d3cdf0035b15a9fcbc552cd88e7,GPL-3.0
README,author_documentation,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/README.md,README.md,2026-08-09,1789,542db3cc40002aed7f44bb710855421563fd980d21eed24f616c75514d9879ba,c6d2d5422b93ed52fcf9035499d4590194005e89,GPL-3.0
RAW_N100_RESET,author_raw_result,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Raw/results_20-09-28_06%3A58%3A03_OneMax_n100_JA.OnePlusLambdaCommaLambdaSAReset_%CE%BB100.txt,Raw/results_20-09-28_06:58:03_OneMax_n100_JA.OnePlusLambdaCommaLambdaSAReset_λ100.txt,2026-08-09,48918,22177154c4375290632476ab8e82845465d4a7261a31c78f63701ef7e901714a,5d6ab57c986d3c166cf0b731496d24d973b0b651,GPL-3.0
MASTER,author_code_member,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/master.py,Python-code/master.py,2026-08-09,7849,d1fb4f9e2c2c305936d2c078e2f40a43303e588f1a672d5de28c1dc8084ec71b,2c607af15ed516d1263e4caeeba075e41d8bc039,GPL-3.0
JOURNAL_ALGORITHMS,author_code_member,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/utils/journalalgorithms.py,Python-code/utils/journalalgorithms.py,2026-08-09,81176,845f1a196f58682de6b40f39e5495e00814f2921cbd4bbc744d169975c577192,9c4fbc4406f63b4e3ca98598711ecad5f75e9942,GPL-3.0
FUNCTIONS,author_code_member,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/utils/functions.py,Python-code/utils/functions.py,2026-08-09,11928,0aabfa6d3dcd490f0b4be763f0fda2e098deaed78cd2fbc59d39b05a0cfa9b05,ecfa438ee8749c160d239d1e4c990a76a5530b0a,GPL-3.0
INPUTS,author_code_member,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/utils/inputs.py,Python-code/utils/inputs.py,2026-08-09,12331,37e8a2938b02cebd36c3086cb13a485ba7e581738edfb2773b7679d5c4b76cb9,702786660f988143fbed9bf4c65e52d352cd112c,GPL-3.0
OUTPUTS,author_code_member,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/utils/outputs.py,Python-code/utils/outputs.py,2026-08-09,1034,fb8d30d2e8291bca6742bc6e10ecdb8e72c21d6e1c5fad331bd4284a9dbac19d,ce8588cd393ac23d8821ff67b06fc76a02fc25c6,GPL-3.0
PROCESSED_N100_RESET,author_processed_result,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/tree/49949a55208359ac93b7110afb23ed276bda158d/processed-results,"processed-results/SA (1+(λ,λ)) GA Reset_OneMax_n100_k1_λ100_p1:100_c1_F1.5_extra-None",2026-08-09,49388,94f577db3df9ad4999e5a6385f981b4850fb8fb79b991528d1488595e254ed65,9f12e57d8ff6beac75b7bf0b2a01eeb58fcdcf94,GPL-3.0
