source_id,kind,url,revision_or_path,accessed_utc,bytes,git_blob,sha256,license_status
PAPER_DOI,publisher_record,https://doi.org/10.1109/CEC60901.2024.10612101,CEC 2024 paper,2026-08-09,,,,bibliographic record
PAPER_PDF,lawful_institutional_full_text,https://opus.bibliothek.uni-augsburg.de/opus4/files/117133/117133.pdf,repository object retrieved 2026-08-09,2026-08-09,3303306,,f55862101aaf771c3ccedcbc98d66c57d41903a89eabaebf8bed3903c1044fa0,institutional repository terms; not code license
CORE_REPO,author_code,https://github.com/heidmic/suprb,2af04212216ffd6a01160167f50ee01e62b2b36c tree 59335a04a71c4a6e3ddf0914485549ae0d6198fa,2026-08-09,,,,GPL-3.0
CORE_ALGORITHM_ADD,author_code,https://github.com/heidmic/suprb,cefd949488dbe23c030f17bb50b6c7c73a44ae3 tree 0146522f95e1ae49cb2bfac1b082e972056e5ea6,2026-08-09,,,,GPL-3.0
CORE_SAGA1,author_code_member,https://github.com/heidmic/suprb/blob/2af04212216ffd6a01160167f50ee01e62b2b36c/suprb/optimizer/solution/saga1/base.py,suprb/optimizer/solution/saga1/base.py,2026-08-09,5585,1f92f468fc2e48f802a2c9f67caf1831694130ab,25ee2543b4133f7095ce4e951d42f3530ddeaa24ae735e77750e802f97a8f879,GPL-3.0
CORE_LICENSE,author_code_member,https://github.com/heidmic/suprb/blob/2af04212216ffd6a01160167f50ee01e62b2b36c/LICENSE,LICENSE,2026-08-09,35149,f288702d2fa16d3cdf0035b15a9fcbc552cd88e7,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,GPL-3.0
CORE_PYPROJECT,author_code_member,https://github.com/heidmic/suprb/blob/2af04212216ffd6a01160167f50ee01e62b2b36c/pyproject.toml,pyproject.toml,2026-08-09,104,158a5387a77d5e86f751921cfa7fc4bda4457afc,5e9404f616bc429668d9e4a9704cd817ca41500ffd49d6cdd64bfa5ecddf3e80,GPL-3.0 repository
EXPERIMENT_REPO,author_experiment_code,https://github.com/heidmic/suprb-experimentation,5c7c87df854ce397533b1d4efcdf8758b3783047 tree 07b5a6557130a00d30912675f971eac24cb67836,2026-08-09,,,,GPL-3.0
EXPERIMENT_REQUIREMENTS,author_code_member,https://github.com/heidmic/suprb-experimentation/blob/5c7c87df854ce397533b1d4efcdf8758b3783047/requirements.txt,requirements.txt,2026-08-09,1337,5628ca6e725917d767683937196527840b92a7d8,2e6e375b3143241c04a7461c7e39bac295964ea95832a68317cbdfd972d49dc8,GPL-3.0; mutable suprb@main dependency
EXPERIMENT_GITIGNORE,author_code_member,https://github.com/heidmic/suprb-experimentation/blob/5c7c87df854ce397533b1d4efcdf8758b3783047/.gitignore,.gitignore,2026-08-09,1943,15d4675845c010fd83743959416a17abfe323b64,7a8825b24b6408a74b391d4e2cff2b087cbadfb0cad9eb7eddaf5140a2c06e31,GPL-3.0 repository
EXPERIMENT_SHARED_CONFIG,author_code_member,https://github.com/heidmic/suprb-experimentation/blob/5c7c87df854ce397533b1d4efcdf8758b3783047/runs/saga_comparison_tests/configurations/shared_config.py,runs/saga_comparison_tests/configurations/shared_config.py,2026-08-09,1377,b712e451d64e81368a9d2af4df3162b6d67f3f03,edc152e0a0ef7ff6e4b7ee489233103af509243a4957f2dd66178e0ec2a149de,GPL-3.0
EXPERIMENT_TUNING,author_code_member,https://github.com/heidmic/suprb-experimentation/blob/5c7c87df854ce397533b1d4efcdf8758b3783047/runs/saga_comparison_tests/saga_comparison_tuning.py,runs/saga_comparison_tests/saga_comparison_tuning.py,2026-08-09,10700,50d13a87f5f04f90b657b48a974753a665867e60,e02168ea5f79c2831cb078f88ee75707316ff52258a59a9509231484949c593e,GPL-3.0
EXPERIMENT_DATA_LOADER,author_code_member,https://github.com/heidmic/suprb-experimentation/blob/5c7c87df854ce397533b1d4efcdf8758b3783047/problems/datasets/base.py,problems/datasets/base.py,2026-08-09,6920,4940b9d38a84b7f79fe670252e08c284cfd979a6,6e339a4433ee4c2ab583633e013e2f1e9c3d75e875ac9fbad78fabc6c62d3104,GPL-3.0 repository; embedded data provenance noted in source
PARKINSON_CSV,author_vendored_input,https://github.com/heidmic/suprb-experimentation/blob/5c7c87df854ce397533b1d4efcdf8758b3783047/problems/datasets/data/parkinson.csv,problems/datasets/data/parkinson.csv,2026-08-09,911261,30a906e0369dda8c666ad1cb715b68ca9f560741,f2c7d5025dec4e92e7feae367a5f7ccf58789a10ac6b54bdf15976c599f9dd39,source attributes UCI; historical dataset-license scope unresolved
EXPERIMENT_LICENSE,author_code_member,https://github.com/heidmic/suprb-experimentation/blob/5c7c87df854ce397533b1d4efcdf8758b3783047/LICENSE,LICENSE,2026-08-09,35149,f288702d2fa16d3cdf0035b15a9fcbc552cd88e7,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,GPL-3.0
UCI_PARKINSON_RECORD,dataset_primary_record,https://archive.ics.uci.edu/dataset/189/parkinsons+telemonitoring,UCI dataset record,2026-08-09,,,,dataset record; not used to infer a historical repository license
